time_s,Qref_mL_s,Qvalve_mL_s,Vbladder_mL,discharged_mL,contact_generalized_force_N,command_STEP_s,raw_command_STEP_s,cable_x_m,actual_v_m_s,valve_closed,tail_mL_s,tail_drained_mL,collected_mL,tracking_error_mL_s,command_acceleration_STEP_s2,integral_command_STEP_s,q0_mL_s,tclose_s,outlet_mL_s,valve_latch,volume_comparator,target_saturation_flag,slew_flag,electrical_phase_rad,torque_Nm,actual_omega_rad_s,cable_tension_N,guard_violation_count,first_failed_guard,independent_intQ_mL,command_count_STEP,actual_acceleration_m_s2,guard_phase_rad,guard_travel_m,guard_volume_m3,guard_extension_m,guard_speed_rad_s,guard_tension_N,guard_forward_flow_m3_s,signed_overlap_m,bladder_pressure_Pa,V_est_mL,quiet_dwell_s,normal_done,terminal_stop_request,quiet
10.3103020239879,15,14.9984186589294,359.869997482723,140.130002517277,93.4629841267118,742.310550449229,742.406281872545,0.0311984530228411,0.00364538320723196,0,0,0,140.130002517277,0.00158134107063646,19.1462846631566,-2.80747764625092,14.9984187269504,10.3103020239879,14.9984186589294,0,0,0,0,0.909642278620026,0.234089975495679,1.45815328289278,93.6359397125916,0,0,140.130002517287,6364.96219988458,9.58434703101321e-05,0.66115404817487,0.126970011725754,0.000323481976973744,0.0311994530228411,4.8250320242868,93.6359497125916,1.49984187589294e-05,0.000467314920633559,25270.1207878044,359.869997482713,0,0,0,0
10.3152726627167,15,14.9984181636109,359.795445763564,140.204554236436,93.4512018750257,742.405737477669,742.501499460128,0.0312165743191548,0.00364585012745018,0,0,0,140.204554236436,0.00158183638910359,19.1523964918133,-2.80751993424578,14.9984182316553,10.3152726627167,14.9984181636109,0,0,0,0,0.909480678813956,0.234060543233223,1.45834005098007,93.6241668033514,0,0,140.204554236446,6368.65219401344,9.58515535109675e-05,0.66131564798094,0.12695189042944,0.000323407425254585,0.0312175743191548,4.82484525619951,93.6241768033514,1.49984182636109e-05,0.000467256009375128,25270.1198635891,359.795445763554,0,0,0,0
10.3202428214012,15,14.9984176680523,359.720901246772,140.279098753228,93.4394204083165,742.500945698456,742.596738252786,0.0312346961865067,0.00364631715119227,0,0,0,140.279098753228,0.00158233194774837,19.158510866032,-2.80756225985154,14.9984177361191,10.3202428214012,14.9984176680523,0,0,0,0,0.909319123346197,0.23403111293627,1.45852686047691,93.6123946807466,0,0,140.279098753238,6372.34230492485,9.58588125732981e-05,0.661477203448699,0.126933768562088,0.000323332880737792,0.0312356961865067,4.82465844670268,93.6124046807466,1.49984177680523e-05,0.000467197102041583,25270.118938947,359.720901246762,0,0,0,0
10.3252125242252,15,14.9984171722508,359.646363569631,140.353636430369,93.4276396692309,742.596175581889,742.691998720989,0.031252818713159,0.00364678428070728,0,0,0,140.353636430369,0.00158282774916785,19.1646278200324,-2.80760462318269,14.9984172403403,10.3252125242252,14.9984171722508,0,0,0,0,0.909157611427336,0.234001684466767,1.45871371228291,93.6006232884852,0,0,140.353636430379,6376.03255059142,9.58672802659911e-05,0.661638715367561,0.126915646035436,0.000323258343060652,0.031253818713159,4.82447159489667,93.6006332884852,1.49984172722508e-05,0.000467138198346154,25270.118013815,359.646363569621,0,0,0,0
10.3301817347173,15,14.9984166762103,359.571833279153,140.428166720847,93.4158597448137,742.691426436065,742.787280172591,0.0312709417661957,0.00364725151267818,0,0,0,140.428166720847,0.0015833237897489,19.170747305202,-2.80764702383622,14.9984167443211,10.3301817347173,14.9984166762103,0,0,0,0,0.908996144176566,0.233972258034407,1.45890060507127,93.5888527120352,0,0,140.428166720858,6379.72290394714,9.58739359750621e-05,0.661800182618331,0.126897522982399,0.000323183812770174,0.0312719417661957,4.82428470210832,93.5888627120353,1.49984167762103e-05,0.000467079298724069,25270.1170882915,359.571833279142,0,0,0,0
10.3351504788344,15,14.9984161799276,359.497309986026,140.502690013974,93.4040805734448,742.786698765364,742.882583112162,0.0312890654403529,0.00364771884954512,0,0,0,140.502690013974,0.00158382007238167,19.1768693595577,-2.8076894619419,14.9984162480595,10.3351504788344,14.9984161799276,0,0,0,0,0.90883472074994,0.233942833491168,1.45908753981805,93.5770828909761,0,0,140.502690013985,6383.41338428287,9.58810807278803e-05,0.661961606044956,0.126879399308242,0.000323109289477047,0.0312900654403529,4.82409776736154,93.5770928909761,1.49984162799276e-05,0.000467020402867224,25270.1161622979,359.497309986015,0,0,0,0
10.340118729905,15,14.9984156834058,359.422794090284,140.577205909716,93.3923022188823,742.881992065233,742.977907034962,0.0313071896384165,0.00364818628879782,0,0,0,140.577205909716,0.00158431659419023,19.1829939456738,-2.80773193717968,14.9984157515576,10.340118729905,14.9984156834058,0,0,0,0,0.908673341956856,0.233913410990366,1.45927451551913,93.5653138878559,0,0,140.577205909727,6387.10397180258,9.58863951444413e-05,0.662122984838041,0.126861275110178,0.000323034773581304,0.0313081896384165,4.82391079166046,93.5653238878559,1.49984157834058e-05,0.000466961511094412,25270.1152359154,359.422794090273,0,0,0,0
10.3450865191442,15,14.9984151866414,359.348285123749,140.651714876251,93.3805246069931,742.977306941262,743.073252546804,0.0313253144743316,0.00364865383338072,0,0,0,140.651714876251,0.00158481335856031,19.1891211084794,-2.80777444972491,14.9984152548129,10.3450865191442,14.9984151866414,0,0,0,0,0.908512006787099,0.233883990353583,1.45946153335229,93.5535456299186,0,0,140.651714876262,6390.79468970866,9.58925157759306e-05,0.662284320007798,0.126843150274263,0.000322960264614769,0.0313263144743316,4.8237237738273,93.5535556299186,1.49984152866414e-05,0.000466902623034966,25270.114309054,359.348285123738,0,0,0,0
10.3500538253857,15,14.9984146896368,359.273783403881,140.726216596119,93.3687477884061,743.072642994335,743.168619248429,0.0313434398709558,0.00364912148135123,0,0,0,140.726216596119,0.00158531036322884,19.1952508188479,-2.80781699930477,14.998414757827,10.3500538253857,14.9984146896368,0,0,0,0,0.908350715876605,0.233854571702527,1.45964859254049,93.5417781668258,0,0,140.726216596131,6394.48552229229,9.58975853384436e-05,0.662445610918292,0.126825024877639,0.000322885762894901,0.0313444398709558,4.82353671463909,93.5417881668258,1.49984147896368e-05,0.000466843738942031,25270.1133817747,359.273783403869,0,0,0,0
10.3550206495884,15,14.998414192392,359.199288916301,140.800711083699,93.356971761048,743.168000249643,743.264007165028,0.0313615658318538,0.00364958923273775,0,0,0,140.800711083699,0.00158580760795957,19.2013830769383,-2.80785958583612,14.9984142606,10.3550206495884,14.998414192392,0,0,0,0,0.908189469168263,0.233825155032552,1.4598356930951,93.5300114966091,0,0,140.800711083711,6398.17647027907,9.59018125897444e-05,0.662606857626633,0.126806898916741,0.000322811268407321,0.0313625658318538,4.82334961408448,93.5300214966091,1.4998414292392e-05,0.00046678485880524,25270.1124540732,359.199288916289,0,0,0,0
