time_s,Qref_mL_s,Qvalve_mL_s,Vbladder_mL,discharged_mL,contact_generalized_force_N,command_STEP_s,raw_command_STEP_s,cable_x_m,actual_v_m_s,valve_closed,tail_mL_s,tail_drained_mL,collected_mL,tracking_error_mL_s,command_acceleration_STEP_s2,integral_command_STEP_s,q0_mL_s,tclose_s,outlet_mL_s,valve_latch,volume_comparator,target_saturation_flag,slew_flag,electrical_phase_rad,torque_Nm,actual_omega_rad_s,cable_tension_N,guard_violation_count,first_failed_guard,independent_intQ_mL,command_count_STEP,actual_acceleration_m_s2,guard_phase_rad,guard_travel_m,guard_volume_m3,guard_extension_m,guard_speed_rad_s,guard_tension_N,guard_forward_flow_m3_s,signed_overlap_m,bladder_pressure_Pa,V_est_mL,quiet_dwell_s,normal_done,terminal_stop_request,quiet
2.30271505399638,13.0878321745584,12.7780203510942,487.548122846291,12.451877153709,93.6003231621429,585.988346574055,586.66700027457,0.00296086444975682,0.00284042155177497,0,0,0,12.451877153709,0.309811823464226,135.730740103145,571.176409101359,12.7718782972722,2.30271505399638,12.7780203510942,0,0,0,0,0.911317978117732,0.23439481108111,1.13616862070999,93.7575176843413,0,0,12.4518771537074,612.464961345486,0.000772182325730394,0.659478348677165,0.155207600298838,0.000451160102337312,0.00296186444975682,5.1470166864696,93.7575276843413,1.27780204510942e-05,0.000468001615810714,21340.6308998294,487.548122846293,0,0,0,0
2.30306566478452,13.0896685508691,12.780168739768,487.543642357836,12.4563576421637,93.6186763289369,586.035920761508,586.71416213572,0.00296186037953546,0.00284069258742073,0,0,0,12.4563576421637,0.309499811101123,135.648274842492,571.239171580664,12.7740310096676,2.30306566478452,12.780168739768,0,0,0,0,0.911570584592669,0.234440707029074,1.13627703496829,93.7758761704013,0,0,12.456357642162,612.670423522381,0.000771979431965294,0.659225742202227,0.155206604369059,0.000451155621848857,0.00296286037953546,5.14690827221129,93.7758861704013,1.2780168839768e-05,0.000468093381644684,21344.4466570801,487.543642357838,0,0,0,0
2.30384735015638,13.0937600315372,12.7849531243717,487.533650416452,12.4663495835481,93.6595492878397,586.141883732645,586.819215038517,0.00296408113999615,0.00284128386349488,0,0,0,12.4663495835481,0.308806907165504,135.466261174338,571.378869680242,12.778825019981,2.30384735015638,12.7849531243717,0,0,0,0,0.912132883016881,0.234542817040181,1.13651354539795,93.8167410960837,0,0,12.4663495835465,613.128560653167,0.000732261948152803,0.658663443778016,0.155204383608599,0.000451145629907473,0.00296508113999615,5.14667176178163,93.8167510960837,1.27849532243717e-05,0.000468297746439199,21352.9449476782,487.533650416453,0,0,0,0
2.30419120404962,13.0955586372699,12.7870553434457,487.529253899076,12.4707461009244,93.6775081263457,586.188450683071,586.865385366252,0.00296505816926622,0.00284153119792481,0,0,0,12.4707461009244,0.30850329382419,135.38693663611,571.440220675042,12.7809314656947,2.30419120404962,12.7870553434457,0,0,0,0,0.912379930708795,0.234587655968651,1.13661247916992,93.8346911419215,0,0,12.4707461009228,613.330115828777,0.000704783234640832,0.658416396086101,0.155203406579328,0.000451141233390096,0.00296605816926622,5.14657282800966,93.8347011419215,1.27870554434457e-05,0.000468387540631728,21356.6791686227,487.529253899077,0,0,0,0
2.30453505794285,13.097356517484,12.7891561130018,487.524856659092,12.4751433409077,93.695453495341,586.234990433749,586.911530689493,0.00296603528204895,0.00284176905313203,0,0,0,12.4751433409077,0.308200404482244,135.308051148832,571.50151046538,12.7830364586238,2.30453505794285,12.7891561130018,0,0,0,0,0.912626879684686,0.234632462671347,1.13670762125281,93.8526279030422,0,0,12.475143340906,613.531687011931,0.000678053277043131,0.658169447110211,0.155202429466546,0.000451136836150113,0.00296703528204895,5.14647768592677,93.8526379030422,1.27891562130018e-05,0.000468477267476705,21360.4107320193,487.524856659094,0,0,0,0
2.30522276572932,13.1009501004239,12.7933532964835,487.5160600133,12.4839399866998,93.7313015071696,586.327988949016,587.003747197226,0.00296798974617188,0.00284222229965063,0,0,0,12.4839399866998,0.307596803940484,135.151649641989,571.623907000202,12.7872420884341,2.30522276572932,12.7933532964835,0,0,0,0,0.913120717441418,0.234722022234537,1.13688891986025,93.888468787233,0,0,12.4839399866982,613.93487736363,0.000645668140802665,0.657675609353479,0.155200475002423,0.000451128039504321,0.00296898974617188,5.14629638731934,93.888478787233,1.27933533964835e-05,0.000468656507535848,21367.8654182644,487.516060013302,0,0,0,0
2.30556661962256,13.1027458026838,12.7954497040933,487.511660608491,12.488339391509,93.7492034184747,586.37444803798,587.049818958305,0.00296896709365777,0.00284244401568243,0,0,0,12.488339391509,0.307296098590541,135.074184065002,571.685014028778,12.7893427242386,2.30556661962256,12.7954497040933,0,0,0,0,0.913367681493105,0.234766788738506,1.13697760627297,93.9063752575052,0,0,12.4883393915073,614.136496513681,0.000645917433780117,0.657428645301792,0.155199497654937,0.000451123640099512,0.00296996709365777,5.14620770090661,93.9063852575052,1.27954498040933e-05,0.000468746017092373,21371.5883933842,487.511660608493,0,0,0,0
2.30634885276639,13.1068281389265,12.800213373615,487.501649719999,12.4983502800015,93.7898738404277,586.480039216244,587.154539013842,0.00297119074840924,0.00284296136222831,0,0,0,12.4983502800015,0.306614765311457,134.899959519589,571.82380074827,12.7941160369755,2.30634885276639,12.800213373615,0,0,0,0,0.91392959550981,0.234868592011185,1.13718454489133,93.9470757683582,0,0,12.4983502799998,614.595219349,0.000685401371881948,0.656866731285086,0.155197274000185,0.000451113629211019,0.00297219074840924,5.14600076228826,93.9470857683582,1.2800213473615e-05,0.000468949369202139,21380.0469887792,487.50164972,0,0,0,0
2.30668993822737,13.1086070257956,12.8022881513447,487.49728339944,12.50271660056,93.8075849525144,586.526038814078,587.200163304432,0.00297216048157989,0.0028431994631036,0,0,0,12.50271660056,0.306318874450941,134.824898070679,571.884219581885,12.7961950310233,2.30668993822737,12.8022881513447,0,0,0,0,0.914174565207448,0.234912950532114,1.13727978524144,93.9648050509019,0,0,12.5027166005583,614.795267009164,0.000712218250839737,0.656621761587448,0.155196304267015,0.000451109262890461,0.00297316048157989,5.14590552193815,93.9648150509019,1.28022882513447e-05,0.000469037924762572,21383.7307677777,487.497283399442,0,0,0,0
2.30703102368835,13.1103851971169,12.8043614847981,487.492916371451,12.5070836285488,93.825283052979,586.572012902635,587.245764826985,0.00297313029742742,0.00284344669820381,0,0,0,12.5070836285488,0.306023712318858,134.750384870154,571.944579211043,12.7982725860428,2.30703102368835,12.8043614847981,0,0,0,0,0.914419421281587,0.234957274391019,1.13737867928153,93.9825210000665,0,0,12.5070836285471,614.995330354765,0.000738026246733545,0.65637690551331,0.155195334451167,0.000451104895862472,0.00297413029742742,5.14580662789806,93.9825310000665,1.28043615847981e-05,0.000469126415264895,21387.411980311,487.492916371453,0,0,0,0
