tag,target_mL,mode,name,unit,margin,time_s,Q_actual_mL_s,force_N,phase_deg,actual_omega_rad_s,previous_sample_s
B_guard_localised,300,2,cable_tension_boundary,N,-8.766425978621521e-12,23.345092895998093,2.1023288265610462,0,-0.0019242528946806698,0.00015026755382700166,23.345092895997865
B_guard_localised,300,3,cable_tension_boundary,N,-2.744944283130475e-13,23.436757753510612,2.102537945252265,0,-0.0017349957542041423,0.00013539968614587568,23.436757753510385
