tag,target_mL,mode,name,unit,minimum_margin,time_s,violated
B_terminal_0p25,300,1,50mm_limit,m,0.08217877294326685,29.97494524434486,False
B_terminal_0p25,300,1,sphere_limit,m^3,0.00016561197129476234,29.993357372149415,False
B_terminal_0p25,300,1,extension_boundary,m,1e-06,0,False
B_terminal_0p25,300,1,speed_envelope_boundary,rad/s,5.089593226127975,1.9791335526507046,False
B_terminal_0p25,300,1,cable_tension_boundary,N,9.925144569729225e-06,29.97893652046073,False
B_terminal_0p25,300,1,reverse_flow_boundary,m^3/s,1e-13,0,False
B_terminal_0p25,300,2,phase_boundary,rad,0.25628883077815967,2.0636116918422314,False
B_terminal_0p25,300,2,50mm_limit,m,0.08213382536460123,23.345103510445075,False
B_terminal_0p25,300,2,sphere_limit,m^3,0.00016570404650058428,23.345103510445075,False
B_terminal_0p25,300,2,extension_boundary,m,9.99999995370915e-07,0.33136644026361367,False
B_terminal_0p25,300,2,speed_envelope_boundary,rad/s,4.378491379611143,19.084094261174116,False
B_terminal_0p25,300,2,cable_tension_boundary,N,-0.0003879770876826492,23.345103510445075,True
B_terminal_0p25,300,2,reverse_flow_boundary,m^3/s,1e-13,0,False
B_terminal_0p25,300,3,phase_boundary,rad,0.1995911919177673,1.9956827407873883,False
B_terminal_0p25,300,3,50mm_limit,m,0.0821337451830285,23.436758737341282,False
B_terminal_0p25,300,3,sphere_limit,m^3,0.00016570382784913645,23.436758737341282,False
B_terminal_0p25,300,3,extension_boundary,m,9.99999995370915e-07,0.33136644026361367,False
B_terminal_0p25,300,3,speed_envelope_boundary,rad/s,4.371467786058561,18.961272334151502,False
B_terminal_0p25,300,3,cable_tension_boundary,N,-3.394878332045389e-05,23.436758737341282,True
B_terminal_0p25,300,3,reverse_flow_boundary,m^3/s,1e-13,0,False
C_combined_300,300,2,phase_boundary,rad,0.32797837908447924,3.042871209401209,False
C_combined_300,300,2,50mm_limit,m,0.08205869219557571,23.987682725267586,False
C_combined_300,300,2,sphere_limit,m^3,0.0001656119647062038,23.84801793143251,False
C_combined_300,300,2,extension_boundary,m,9.99999995370915e-07,0.33136644026361367,False
C_combined_300,300,2,speed_envelope_boundary,rad/s,4.378492345726478,19.55844405143353,False
C_combined_300,300,2,cable_tension_boundary,N,9.972981568256041e-06,0.058463516752014145,False
C_combined_300,300,2,reverse_flow_boundary,m^3/s,1e-13,0,False
D_convergence_tight,300,1,phase_boundary,rad,0.27105224687985263,25.948904163735182,False
D_convergence_tight,300,1,50mm_limit,m,0.08152996824358907,26.106201249755465,False
D_convergence_tight,300,1,sphere_limit,m^3,0.00016561193619221086,25.64428328730112,False
D_convergence_tight,300,1,extension_boundary,m,1e-06,0,False
D_convergence_tight,300,1,speed_envelope_boundary,rad/s,5.089610946571263,1.9709023468086808,False
