tag,target_mL,mode,status,plateau_rmse_mL_s,plateau_err_pct,collected_mL,volume_error_mL,stop_time_s,max_abs_torque_Nm,torque_margin_Nm,torque_utilisation_pct,max_contact_force_N,electrical_phase_boundary_margin_deg,postclose_peak_force_N,postclose_travel_m,postclose_pressure_increase_Pa,command_start_s,command_stop_s,mechanical_stop_s,t_close_s,tail_end_s,upper_saturation_s,lower_saturation_s,slew_limited_s,plateau_overshoot_pct,plateau_band_entry_s
A_startup_2p5,300,2,normal_completion,0.0401783246148246,0.7368949496127764,300.0000147103048,1.4710304810705566e-05,24.944419979066694,0.28307713550828445,0.013508040689207579,95.44547678936834,113.06961514392644,17.35886660912034,16.55299621482198,5.0409403308082634e-05,3478.712308184432,0.6223568637451644,23.755567659833883,23.728853029807528,23.60918595444294,24.94376945434399,0,0.6222096091585295,0,0.7368949496127764,2.5000171093869312
A_startup_2p5,300,3,normal_completion,0.021727573734594056,1.5061961967401505,300.00001481391956,1.4813919563039235e-05,25.039241091582817,0.2857956269878392,0.010789549209652805,96.36207400923229,114.15671670873644,15.502082351023404,16.582430110284598,5.049841560726687e-05,3484.8549753539364,0.56618807058832,23.847746563290283,23.8206574424886,23.701273610716868,25.034808866869593,0,0.5660427520848706,0,1.5061961967401505,2.500395473088693
A_startup_3,300,2,normal_completion,0.03931596581014762,0.49432885857414455,300.00001479624757,1.4796247569393017e-05,25.18308064081982,0.2807758522755769,0.01580932392191514,94.6695502032145,112.14886392282835,18.791776893082442,16.55299574804814,5.040940964301521e-05,3478.7127453530293,0.7444355317364546,23.99431083362215,23.967295692327372,23.847959657039116,25.182543145779874,0,0.744272370037988,0,0.49432885857414455,3.0000010862680786
A_startup_3,300,3,normal_completion,0.015552424112263473,1.0718500591678781,300.0000148420176,1.4842017606042646e-05,25.274226868199865,0.28282886282483893,0.013756313372653095,95.36176637382141,112.96983541325255,17.518908019910214,16.582429016318013,5.0498461148684726e-05,3484.8581181304817,0.6862813331082847,24.08691249728818,24.06013877792208,23.94044533924245,25.27398058727286,0,0.686121831342714,0,1.0718500591678781,3.000266124211479
B_guard_localised,300,2,boundary_triggered,0.044999661861244336,1.424551721771028,297.90791067687337,-2.092089323126629,23.345092895998093,0.28689793038814837,0.009687245809343659,96.73373904470093,114.59806922915128,14.684268339931108,,,,0.49995402777867565,,,,,0,0.4998184755859638,0.03013386641422855,1.424551721771028,2.0003896417547775
B_guard_localised,300,3,boundary_triggered,0.03705375616313623,2.504628875403947,297.90814957335573,-2.091850426644271,23.436757753510612,0.29069728232895115,0.005887893868540883,98.01477135707545,116.11737497099588,11.43573292487369,,,,0.44666063004498013,,,,,0,0.44653097607609626,0.03014466066893462,2.504628875403947,2.000032204595935
B_terminal_0p05,300,1,normal_completion,3.455508480848772,37.56776346255696,300.0000082809579,8.280957899842178e-06,32.388239645991845,0.27635749910536345,0.020227677092128582,93.17980846127682,110.38335164374192,21.283139029697438,0,7.615251519654809e-08,0,1.6666666666666784e-07,30.02480312555715,29.99843981669582,29.987513300577454,32.38680677993084,0,0,0.11142151849989262,0,
B_terminal_0p05,300,2,normal_completion,0.044999661861244336,1.424551721771028,300.0000146048217,1.460482167203736e-05,24.723431237849216,0.28689793038814837,0.009687245809343659,96.73373904470093,114.59806922915128,14.684268339931108,8.503397756665088,1.39024797097681e-05,959.3989231932992,0.49995402777867565,23.46658061968454,23.439216717698727,23.37049178336151,24.72046859592957,0,0.4998184755859638,0.01674535510915831,1.424551721771028,2.0003896417547775
B_terminal_0p05,300,3,normal_completion,0.03705375616313623,2.504628875403947,300.0000145903017,1.4590301702810393e-05,24.81343781499392,0.29069728232895115,0.005887893868540883,98.01477135707545,116.11737497099588,11.43573292487369,8.529251012945327,1.3968171047540334e-05,963.9322295178272,0.44666063004498013,23.558312011985116,23.5308683937758,23.46203858429484,24.810907201391366,0,0.44653097607609626,0.016732301665228988,2.504628875403947,2.000032204595935
B_terminal_0p25,300,1,normal_completion,3.455508480848772,37.56776346255696,300.0000081919643,8.191964298021048e-06,32.43415754405629,0.27635749910536345,0.020227677092128582,93.17980846127682,110.38335164374192,21.283139029697438,0,3.469446951953614e-16,0,1.6666666666666784e-07,29.909020906101947,29.882799880739586,29.993357372149415,32.433449603452715,0,0,0.11141866438295694,0,
