time_s,Qref_mL_s,Qvalve_mL_s,Vbladder_mL,discharged_mL,contact_generalized_force_N,command_STEP_s,raw_command_STEP_s,cable_x_m,actual_v_m_s,valve_closed,tail_mL_s,tail_drained_mL,collected_mL,tracking_error_mL_s,command_acceleration_STEP_s2,integral_command_STEP_s,q0_mL_s,tclose_s,outlet_mL_s,valve_latch,volume_comparator,target_saturation_flag,slew_flag,electrical_phase_rad,torque_Nm,actual_omega_rad_s,cable_tension_N,guard_violation_count,first_failed_guard,independent_intQ_mL,command_count_STEP,actual_acceleration_m_s2,guard_phase_rad,guard_travel_m,guard_volume_m3,guard_extension_m,guard_speed_rad_s,guard_tension_N,guard_forward_flow_m3_s,signed_overlap_m,bladder_pressure_Pa,V_est_mL,quiet_dwell_s,normal_done,terminal_stop_request,quiet
0,0,0,500,0,0,0,606.94,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.5707963267949,0.158168464748595,0.000463611979491021,1e-06,6.28318530717959,1e-05,1e-13,0,2443.92595213867,500,0,0,0,1
0.000538310998198595,2.68125118690898e-06,0.0633725203989144,499.999982855116,1.71448843620456e-05,0,3.22986598919157,606.94,1.08209283899348e-10,6.84363144419456e-07,0,0,0,1.71448843620456e-05,-0.0633698391477275,6000,0,0.0144349229945385,0.000538310998198595,0.0633725203989144,0,0,0,1,8.3182866178854e-05,2.46708049938167e-05,0.000273745257767782,0.00831812443934386,0,0,1.71448843685417e-05,0.000869337931605541,0.00294293974027507,1.57071314392872,0.158168464640385,0.000463611962346136,1.0001082092839e-06,6.28291156192182,0.00832812443934386,6.33726203989144e-08,-3.2971219015872e-09,2443.92596371851,499.999982855116,0,0,0,0
0.00106939694664604,1.05815380799235e-05,0.124005084397797,499.999933016527,6.69834729133054e-05,0,6.41638167987623,606.94,1.0490544666466e-09,3.1726463691204e-06,0,0,0,6.69834729133054e-05,-0.123994502859717,6000,0,0.0482536660687197,0.00106939694664604,0.124005084397797,0,0,0,1,0.00031583997884074,9.36734542172955e-05,0.00126905854764816,0.0340306739884582,0,0,6.69834728276897e-05,0.00343083122798926,0.00652814184074101,1.57048048681606,0.15816846369954,0.000463611912507548,1.00104905446665e-06,6.28191624863194,0.0340406739884582,1.24005184397797e-07,-1.22552590410729e-08,2443.92599738008,499.999933016527,0,0,0,0
0.0015628967364995,2.26011934367776e-05,0.178713994982871,499.999858256909,0.000141743090680511,0,9.37738041899699,606.94,3.59382800060788e-09,7.59858074662471e-06,0,0,0,0.000141743090680511,-0.178691393789434,6000,0,0.0893377594573477,0.0015628967364995,0.178713994982871,0,0,0,1,0.000647542303143528,0.000192051434651605,0.00303943229864988,0.0703721983128101,0,0,0.00014174309096578,0.00732794036638587,0.0122417820617509,1.57014878449175,0.158168461154767,0.00046361183774793,1.00359382800061e-06,6.28014587488094,0.0703821983128101,1.78714094982871e-07,-2.45593048344217e-08,2443.92604787361,499.999858256909,0,0,0,0
0.00203742818614991,3.84092008332004e-05,0.229878881657726,499.999761256727,0.000238743272547304,0,12.2245691168995,606.94,9.03504356628388e-09,1.66588988281905e-05,0,0,0,0.000238743272547304,-0.229840472456893,6000,0,0.133577150336427,0.00203742818614991,0.229878881657726,0,0,0,1,0.00104190317755041,0.000309012981585704,0.00666355953127621,0.108126446451136,0,0,0.000238743272811783,0.0124533425806588,0.0293852980425333,1.56975442361735,0.158168455713551,0.000463611740747748,1.00903504356628e-06,6.27652174764831,0.108136446451136,2.29878981657726e-07,-3.83843505086551e-08,2443.92611338863,499.999761256727,0,0,0,0
0.0025082846466702,5.82135520396654e-05,0.279288844468694,499.999641331885,0.000358668115173211,0,15.0497078800212,606.94,2.14154099928495e-08,3.89154362498788e-05,0,0,0,0.000358668115173211,-0.279230630916655,6000,0,0.179786139441839,0.0025082846466702,0.279288844468694,0,0,0,1,0.00142468928043989,0.000422541578324349,0.0155661744999515,0.133965775943051,0,0,0.000358668115564595,0.0188744773456688,0.0665415544642186,1.56937163751446,0.158168443333185,0.000463611620822906,1.02141540999285e-06,6.26761913267964,0.133975775943051,2.79288944468694e-07,-4.9823564868847e-08,2443.9261943872,499.999641331884,0,0,0,0
0.00304874787351772,8.60029231239401e-05,0.334381527960844,499.999475421793,0.000524578207370015,0,18.2924872411063,606.94,5.38770167539049e-08,8.36031208534917e-05,0,0,0,0.000524578207370015,-0.33429552503772,6000,0,0.233921993083965,0.00304874787351772,0.334381527960844,0,0,0,1,0.00166002313477755,0.000492338027799092,0.0334412483413967,0.148062619751111,0,0,0.000524578207527364,0.0278845925283409,0.0927811365651098,1.56913630366012,0.158168410871578,0.000463611454912813,1.0538770167539e-06,6.24974405883819,0.148072619751111,3.34381627960844e-07,-5.03151766627233e-08,2443.92630644464,499.999475421792,0,0,0,0
0.00354920127895619,0.000116555066261015,0.383894354258033,499.999295630685,0.000704369315044501,0,21.2952076737371,606.94,1.07214321611889e-07,0.000128559141732509,0,0,0,0.000704369315044501,-0.383777799191772,6000,0,0.284081184709439,0.00354920127895619,0.383894354258033,0,0,0,1,0.00156578633562831,0.000464388826483898,0.0514236566930034,0.14307969818116,0,0,0.000704369315052786,0.0377904908951373,0.0810170306957464,1.56923054045927,0.158168357534273,0.000463611275121706,1.10721432161189e-06,6.23176165048658,0.14308969818116,3.83894454258033e-07,-3.26881585020112e-08,2443.92642787741,499.999295630685,0,0,0,0
0.00403439225159581,0.00015060029079389,0.430558511578255,499.999097995563,0.000902004437179464,0,24.2063535095749,606.94,1.77801675759824e-07,0.000159262600450103,0,0,0,0.000902004437179464,-0.430407911287461,6000,0,0.332184661752508,0.00403439225159581,0.430558511578255,0,0,0,1,0.00123773884097768,0.00036709489850642,0.063705040180041,0.1244429334724,0,0,0.000902004437176842,0.0488289642587135,0.042515362926801,1.56955858795392,0.158168286946919,0.000463611077486584,1.17780167575982e-06,6.21948026699955,0.1244529334724,4.30558611578255e-07,-1.35529608091969e-09,2443.92656136209,499.999097995563,0,0,0,0
0.00450854251250403,0.00018807953608535,0.474933382209691,499.998883279174,0.00111672082551192,0.00687483821013766,27.0512550750241,606.94,2.56178364472019e-07,0.000167318261460543,0,0,0,0.00111672082551192,-0.474745302673606,6000,0,0.378403633553493,0.00450854251250403,0.474933382209691,0,0,0,1,0.000863215475910822,0.000256016882224633,0.0669273045842171,0.106415778518164,0,0,0.00111672082562656,0.0609808685006727,-0.00761084984236874,1.56993311131899,0.15816820857023,0.000463610862770195,1.25617836447202e-06,6.21625800259537,0.106425778518164,4.74933482209691e-07,3.43741910506883e-08,2445.2921943771,499.998883279174,0,0,0,0
